,UK_B,US_B,JP_B,GE_B,CNY_FX,EUR_FX,GBP_FX,JPY_FX,GOLDS_C,EPRA_X,MXWD_X,NKY_X,SHCOMP_X,SPX_X,SX5E_X,UKX_X,ETH,LTC,DASH,XRP,BTC
2015-08-24,114.6697,112.1439,104.1711,115.1303,0.15615,1.1619,1.5776,0.008444,1155.11,2400.96045,382.36,155.55566000000005,501.09354,1893.21,3543.31128,9285.41113,1.3,3.74,2.5926754,0.00815,211.0
2015-08-25,113.873,111.3881,103.9172,113.3706,0.15595,1.1517,1.5687,0.008412000000000001,1140.49,2463.98682,381.91,148.47578,462.38748,1867.61,3675.93286,9545.27148,1.05,1.8832036,2.2437675,0.00815,219.0
2015-08-26,113.2803,110.4629,103.9183,113.8319,0.15597,1.1314,1.5463,0.008338,1125.26,2411.71875,388.96,153.96138,456.46158,1940.51,3609.87622,9259.9873,1.0,2.8,2.5268528,0.00815,227.98
2015-08-27,112.8867,110.4304,103.767,113.3302,0.15616,1.1246,1.5403,0.008262,1125.0,2445.66138,397.58,153.21653999999995,481.52521,1987.66,3686.28442,9540.06055,1.27,2.7,2.5201382999999997,0.00815,217.25287000000003
2015-08-28,113.4864,110.4666,103.8087,113.5834,0.15656,1.1185,1.5391,0.008216,1133.6,2418.52881,399.56,157.65628,505.97958,1988.87,3675.7221700000014,9614.95508,1.0600001000000001,2.7,2.1362412,0.0055083,233.99
2015-08-31,113.4922,110.2084,103.8505,113.0508,0.15684,1.1211,1.5345,0.008249,1134.93,2430.97681,396.73,155.79778000000005,502.28516,1972.18,3663.29346,,1.3,2.4699392000000002,2.7082599999999997,0.0055083,225.04
2015-09-01,113.2924,110.7357,103.9634,112.5763,0.15713,1.1315,1.5304,0.008376999999999999,1140.27,2385.61987,386.17,151.64613,497.24792,1913.85,3594.01758,9281.68359,1.2500004999999998,2.4699392000000002,2.5120428,0.00953609,223.9447
2015-09-02,113.2368,111.366,103.9136,112.6973,0.15734,1.1227,1.5299,0.00831,1134.05,2410.52539,389.22,150.61928,496.94412,1948.86,3593.91919,9313.54785,1.2600013,2.4699392000000002,2.5120428,0.00953609,226.0
2015-09-03,113.4171,111.6817,103.8639,113.274,0.15733,1.1123,1.5258,0.008329000000000001,1125.46,2430.48755,391.03,151.50728999999995,,1951.13,3635.35913,9449.09961,1.2194002,2.47,2.5120428,0.00953608,230.0
2015-09-04,114.3316,112.0488,104.1601,114.0526,0.15698,1.1149,1.517,0.008401,1121.85,2386.51001,384.49,149.61453,,1921.22,3544.07056,9184.63379,1.2193999,2.47,2.5047083,0.00953608,231.0
2015-09-07,114.5769,112.0552,104.151,114.0325,0.15702,1.117,1.5277,0.008384,1119.35,2391.27173,384.65,149.66038999999995,483.67355,,3571.81274,9284.2959,1.3499999,3.2,2.6012886,0.00952999,245.0
2015-09-08,114.3009,111.4105,104.2337,113.9684,0.15705,1.1203,1.5396,0.008346,1121.55,2422.48804,391.42,145.46811,498.11499,1969.41,3616.72656,9447.78516,1.3499999,2.8500345,2.6012886,0.00952999,243.5
2015-09-09,114.026,111.5267,104.1938,113.7068,0.1568,1.1207,1.5368,0.008297,1107.85,2438.89526,392.54,155.02568,508.52838,1942.04,3649.29761,9570.25098,1.2999995,2.8500345,2.6012886,0.00952999,240.6
2015-09-10,114.0835,111.1748,104.297,113.8185,0.15656,1.128,1.5445,0.00829,1110.75,2451.68481,391.69,151.73814,501.47296,1952.29,3627.96997,9503.95508,1.16,2.9500046,2.6012886,0.00733332,236.53221000000002
2015-09-11,114.4113,111.5195,104.3492,114.2163,0.15688,1.1338,1.5429,0.008293,1107.95,2432.68555,391.96,151.35675,502.06042,1961.05,3616.71802,9439.7041,0.99989885,2.9500224999999998,2.115682,0.007327800000000001,238.7
2015-09-14,114.2711,111.6358,104.2376,114.2293,0.15702,1.1317,1.5427,0.008317,1109.1,2410.67529,390.74,149.71417,489.06375,1953.03,3594.48438,9386.69727,0.871,2.97,2.3154478,0.0073311999999999995,228.5
2015-09-15,113.5308,110.6385,104.0855,113.2099,0.15700999999999998,1.1269,1.5344,0.008304,1105.35,2393.37256,393.69,149.77135,471.79919,1978.09,3619.13501,9424.28516,0.88850003,2.9999967,2.3635616,0.0073311999999999995,233.0
2015-09-16,113.3309,109.5871,104.1375,113.049,0.15695,1.129,1.5493,0.008294,1119.52,2417.09521,398.75,150.5892,494.72095,1995.31,3677.44922,9644.68555,0.9999988000000001,2.9955912000000002,2.375,0.0073311999999999995,230.00002999999998
2015-09-17,113.0805,110.5303,104.1896,112.9427,0.15709,1.1435,1.5591,0.008333,1131.51,2422.16455,398.77,152.39578,484.78,1990.2,3680.34497,9601.58984,0.84,2.8583407000000003,2.4549098,0.0073311999999999995,232.5
2015-09-18,114.1559,111.1685,104.4872,114.0241,0.15714,1.1298,1.5536,0.008334999999999999,1139.23,2445.48511,394.04,150.78613,486.67303,1958.03,3588.9028299999995,9510.81348,0.85,2.9553726000000005,2.4192934,0.0073311999999999995,238.264
2015-09-21,113.7679,110.4731,104.4881,113.8171,0.15696,1.119,1.5507,0.008295,1133.44,2434.91406,392.99,,495.66443,1966.97,3571.026610000001,9471.55469,0.8915,2.836605,2.3186958,0.00627,227.49998
2015-09-22,114.8846,111.1207,104.4891,114.8449,0.15689,1.112,1.5365,0.008323,1124.76,2377.37671,386.51,,499.57166,1942.74,3421.7981,9125.16699,0.87502044,2.8366053,2.3683574,0.00627,226.51636000000002
2015-09-23,114.6597,110.9689,104.49,114.7465,0.15665,1.1186,1.5245,0.008314,1130.3,2405.51636,384.85,,488.08533,1938.76,3441.58081,9207.00781,0.9,2.8361015,2.3815756,0.00570001,228.0
2015-09-24,115.3468,111.2431,104.5218,114.9819,0.15673,1.123,1.5242,0.008328,1153.95,2403.3364300000007,382.54,146.93393999999995,492.77725,1932.24,3398.26709,9090.67578,0.845,2.8498113,2.3815756,0.00675,232.6
